date,hour,es_train,es_synth,avg_wind_speed,es_diff
1995-06-09,0,42.70111450347346,47.878753406879866,9.526666673024492,5.177638903406404
1995-06-10,0,30.554849618950673,29.75376309880571,3.8865666548411046,-0.8010865201449633
1995-06-11,0,45.614188203383534,52.243393930418904,4.73913334608078,6.6292057270353695
1995-06-12,0,50.752567167402006,56.223574754068665,4.7511833230654394,5.4710075866666585
1995-06-13,0,23.57364627475629,27.76117527420826,4.760650018850962,4.18752899945197
1995-06-14,0,17.686344552229958,18.581810666357345,7.521883312861124,0.8954661141273874
1995-06-15,0,17.38844841501506,16.30113729586559,8.072099995613097,-1.0873111191494687
1995-06-16,0,17.276428585210173,16.210634495855256,8.103283381462097,-1.0657940893549167
1995-06-17,0,17.07616967675718,17.372427594361096,7.698783365885417,0.29625791760391706
1995-06-18,0,22.520148895450458,24.417348196742406,8.189983328183493,1.8971993012919484
1995-06-19,0,16.72392147738128,17.453995617274924,7.446866663297017,0.7300741398936452
1995-06-20,0,14.89044681810623,15.345367242572603,6.878683360417684,0.4549204244663727
1995-06-21,0,13.568414599657924,13.741577519825487,6.454899994532267,0.17316292016756307
1996-06-01,0,15.533476889718461,15.599100467227391,7.275733359654745,0.06562357750893
1996-06-02,0,31.03880541386663,35.676468243106626,2.9229166567325593,4.637662829239996
1996-06-03,0,49.49020054560525,55.70737627142388,5.000733323891957,6.217175725818635
1996-06-04,0,53.07216776185281,61.09212169476113,6.735950001080831,8.019953932908322
1996-06-05,0,46.75972696911009,51.9265069900833,10.245166667302449,5.166780020973206
1996-06-06,0,21.190160367689767,17.762373490063897,8.055333344141639,-3.42778687762587
1996-06-07,0,43.19841229207199,44.23546593681418,3.677066695690155,1.037053644742187
1996-06-08,0,70.88195537269675,76.89405331927942,7.546916667620342,6.012097946582671
1996-06-09,0,47.88411011955492,54.973810625582104,5.303316680590312,7.089700506027185
1996-06-10,0,35.478709161027595,41.286337140594526,4.165066687266032,5.807627979566931
1996-06-11,0,20.60451806871968,21.38159504910708,1.744633332143228,0.7770769803873989
1996-06-12,0,11.352402625611884,10.336712935935434,5.057883326212565,-1.0156896896764493
1996-06-13,0,14.076245060195173,15.135442197040614,4.925733331839243,1.059197136845441
1996-06-14,0,31.067542881049267,27.69903371372185,4.775849978129069,-3.3685091673274172
1996-06-15,0,11.655629317945792,10.944740107863584,5.6959333419799805,-0.7108892100822075
1996-06-16,0,15.228735247814452,16.313216743292312,4.554033358891805,1.0844814954778599
1996-06-17,0,74.98505865743095,80.12637505541538,8.160899941126507,5.141316397984426
1996-06-18,0,25.08700022172499,22.903291222193612,2.9787500063578287,-2.183708999531376
1996-06-19,0,27.6044240022558,23.33833311668683,6.040200026830037,-4.266090885568971
1996-06-20,0,20.13185123839595,21.211750299634264,8.066833360989888,1.079899061238315
1996-06-21,0,27.270625840734983,27.895356517054484,10.048333390553795,0.6247306763195013
1997-06-01,0,37.001135712838604,42.78831628978601,3.7821166634559633,5.7871805769474065
1997-06-02,0,33.39836915017621,39.3143996106548,4.3104833205540976,5.916030460478595
1997-06-03,0,40.523091749923665,46.591061073742324,4.018899981180827,6.067969323818659
1997-06-04,0,27.66313401961919,31.748071735974133,2.6825833261013035,4.084937716354943
1997-06-06,0,21.00887103820717,24.437780602609276,4.116399999459584,3.4289095644021046
1997-06-07,0,18.47201856305006,21.126040823914845,4.294649990399678,2.654022260864785
1997-06-08,0,14.33317562566469,15.025154605130819,3.3858333428700766,0.6919789794661284
1997-06-09,0,14.60996281473675,14.498515812424824,4.904633331298828,-0.11144700231192672
1997-06-10,0,36.75378202773912,43.42013988198548,5.96648333867391,6.666357854246357
1997-06-11,0,26.30652758273631,30.62729411289529,6.207599997520447,4.320766530158977
1997-06-12,0,12.51734584271001,10.376939995721724,4.974549988905588,-2.140405846988287
1997-06-13,0,12.49867446182633,11.62809207447052,5.977199999491374,-0.8705823873558103
1997-06-14,0,51.74232289986719,56.771461072565884,4.830600003401439,5.029138172698694
1997-06-15,0,18.184610172298587,20.44184759586224,5.376449990272523,2.2572374235636516
