date,es_train,es_synth,avg_wind_speed,es_diff,generator,synth_type
1997-06-20,145.16696681899305,168.03064947910318,9.096412930980756,22.86368266011013,No_Weather,Independent
2021-06-01,157.0157666180151,148.71208746313053,3.3491250004205444,-8.303679154884577,No_Weather,Independent
2021-06-02,102.63827499795295,95.72626682112457,1.807226386126259,-6.91200817682838,No_Weather,Independent
2021-06-03,79.62560055073536,75.32261095516415,2.003666667857517,-4.302989595571205,No_Weather,Independent
2021-06-04,70.30318330775171,74.68339082711344,4.409765276437003,4.380207519361733,No_Weather,Independent
2021-06-05,70.22230828415113,73.57276663087444,4.523813891162468,3.3504583467233147,No_Weather,Independent
2021-06-06,74.08956072730965,76.34288177711446,4.6613555548919425,2.2533210498048106,No_Weather,Independent
2021-06-07,90.52592056974845,88.60030583746203,4.063436783709062,-1.9256147322864194,No_Weather,Independent
2021-06-08,91.02376273802443,87.12301619406483,3.7844756981564927,-3.900746543959599,No_Weather,Independent
2021-06-09,91.40542741171845,89.54718738546094,4.339934026532714,-1.858240026257505,No_Weather,Independent
2021-06-10,67.10872093718942,68.06430910787074,3.8649319481518565,0.9555881706813238,No_Weather,Independent
2021-06-11,73.43420033510665,82.53694258679488,5.4506597157981655,9.102742251688227,No_Weather,Independent
2021-06-12,176.73348541341267,165.1991285289512,4.681131247876,-11.53435688446146,No_Weather,Independent
2021-06-13,126.68051050496882,120.81919254777293,3.490947223475417,-5.861317957195894,No_Weather,Independent
2021-06-14,95.52603867295792,89.17006539793147,2.466404859641464,-6.355973275026457,No_Weather,Independent
2021-06-15,78.40347019008524,73.4604791859102,2.2371562502641225,-4.942991004175042,No_Weather,Independent
2021-06-16,69.56485307978213,69.52824681042148,3.4393305626801283,-0.03660626936064659,No_Weather,Independent
2021-06-17,85.86551585413167,89.83502278642169,4.953461111875034,3.9695069322900167,No_Weather,Independent
2021-06-18,102.06275240497024,115.13470110340725,6.625585420429699,13.071948698437012,No_Weather,Independent
2021-06-19,86.20664714418828,96.94208216336557,6.02727847165531,10.735435019177288,No_Weather,Independent
2021-06-20,122.19580796381061,138.20233276319655,7.4546145937509145,16.006524799385943,No_Weather,Independent
2021-06-21,230.4922995299964,222.0654158933198,6.159730549223932,-8.426883636676592,No_Weather,Independent
2022-06-01,186.3303428317867,178.62548157889384,4.657177778690439,-7.704861252892869,No_Weather,Independent
2022-06-02,168.43086561380812,160.0356143387252,3.5127222207478366,-8.395251275082927,No_Weather,Independent
2022-06-03,91.5912455861984,85.8990933911686,2.8335013929256463,-5.6921521950297915,No_Weather,Independent
2022-06-04,74.8880375499221,75.57226810196252,4.057101384374431,0.6842305520404182,No_Weather,Independent
2022-06-05,98.4189387139509,98.95354148444812,5.0700208351430005,0.53460277049723,No_Weather,Independent
2022-06-06,115.05086019426867,108.87591452273429,3.0312236122889096,-6.174945671534374,No_Weather,Independent
2022-06-07,117.10346798704003,110.96655150593031,3.7555159687168116,-6.136916481109722,No_Weather,Independent
2022-06-08,163.79355394571837,156.2017872196208,4.339998608310185,-7.591766726097575,No_Weather,Independent
2022-06-09,94.17669502282388,89.04427817436388,2.8985708320099586,-5.132416848459997,No_Weather,Independent
2022-06-10,103.82220155760044,100.5099372850608,4.093534725045573,-3.312264272539636,No_Weather,Independent
2022-06-11,70.85388096493702,73.3410094640389,4.293102779322187,2.4871284991018854,No_Weather,Independent
2022-06-12,96.2700688354708,106.20317956536795,6.22139999924435,9.933110729897152,No_Weather,Independent
2022-06-13,150.4077102348296,166.29206627439342,8.708739586008909,15.884356039563812,No_Weather,Independent
2022-06-14,157.6691777707568,181.1484454423572,9.54578681455717,23.47926767160041,No_Weather,Independent
2022-06-15,140.18184761239377,160.40045627207135,8.665968053208456,20.218608659677585,No_Weather,Independent
2022-06-16,80.48691469731259,90.70519585901829,5.826397219465843,10.218281161705704,No_Weather,Independent
2022-06-17,71.08608751670496,74.45560853075912,4.622611115997035,3.3695210140541576,No_Weather,Independent
2022-06-18,69.49097415398106,71.20820871669935,4.148799305616142,1.7172345627182892,No_Weather,Independent
2022-06-19,80.51594705451109,87.26764118190604,5.570963887870295,6.751694127394956,No_Weather,Independent
2022-06-20,90.02035935286708,103.65704911868275,6.7577090251776895,13.636689765815674,No_Weather,Independent
2022-06-21,96.29747906482393,105.76955611913607,6.354403469959897,9.472077054312138,No_Weather,Independent
2023-06-01,112.47130456694592,107.62563411457671,3.833254163535051,-4.845670452369205,No_Weather,Independent
2023-06-02,142.38955328718362,137.94872302093202,4.002388197307149,-4.440830266251595,No_Weather,Independent
2023-06-03,121.65883855044405,114.07318475980625,2.437448612362556,-7.585653790637792,No_Weather,Independent
2023-06-04,105.08302670990551,99.24880595243425,2.25904305498164,-5.8342207574712575,No_Weather,Independent
2023-06-05,155.5626399457434,146.9623952496265,2.9989062510223823,-8.600244696116903,No_Weather,Independent
2023-06-06,128.86881566015524,121.25269256439717,2.1444458340831476,-7.61612309575807,No_Weather,Independent
2023-06-07,111.56670377130646,104.37672673731564,2.1047215258269327,-7.189977033990829,No_Weather,Independent
2023-06-08,103.84098480693169,98.48690674925692,2.1108763899605676,-5.354078057674769,No_Weather,Independent
2023-06-09,106.13283412326433,100.33780195440926,2.471367359606339,-5.795032168855073,No_Weather,Independent
2023-06-10,158.4825636909564,151.29463417754928,4.330319443882507,-7.187929513407113,No_Weather,Independent
2023-06-11,206.4009069524074,195.70146966940453,4.7481125022801915,-10.69943728300288,No_Weather,Independent
2023-06-12,134.12339599300645,127.30982886033868,2.9617944444620243,-6.813567132667771,No_Weather,Independent
2023-06-13,98.62901446091246,93.07126368268513,2.344245833120979,-5.55775077822733,No_Weather,Independent
2023-06-14,130.74628897305377,123.59348046154938,2.4997402775550897,-7.152808511504389,No_Weather,Independent
2023-06-15,100.06295255871976,93.5235556584297,3.214396525518465,-6.539396900290058,No_Weather,Independent
2023-06-16,168.0937253693337,158.40564529911833,3.3779381958353802,-9.688080070215364,No_Weather,Independent
2023-06-17,126.14690268781231,120.30054126097158,3.775758336427506,-5.84636142684073,No_Weather,Independent
2023-06-18,181.35285652140743,171.29361044454262,4.132284720821503,-10.05924607686481,No_Weather,Independent
2023-06-19,96.2941363450154,94.05119239425045,4.086977080007366,-2.2429439507649533,No_Weather,Independent
2023-06-20,118.72833739012785,115.92395515243439,5.487624301844153,-2.80438223769346,No_Weather,Independent
2023-06-21,130.09325172444687,123.9928116561783,4.694576390832667,-6.100440068268568,No_Weather,Independent
2024-06-01,83.65882245039447,78.54065432051394,2.3474805544162867,-5.11816812988053,No_Weather,Independent
2024-06-02,111.56835411702448,111.95495943833237,5.605214579113664,0.38660532130788283,No_Weather,Independent
2024-06-03,114.75848159974228,111.84565742081662,4.488899311154267,-2.9128241789256606,No_Weather,Independent
2024-06-04,74.34203949437219,79.26709269600363,4.674506946239203,4.925053201631442,No_Weather,Independent
2024-06-05,144.8664996198218,133.64351997351426,3.3037958355568753,-11.22297964630755,No_Weather,Independent
2024-06-06,126.49589974304882,117.00317715983192,3.8762368051419225,-9.492722583216903,No_Weather,Independent
2024-06-07,108.67649858167627,109.41553056831819,5.432547218600944,0.739031986641919,No_Weather,Independent
2024-06-08,133.1789317406412,135.57154011101616,5.712251392322481,2.3926083703749725,No_Weather,Independent
2024-06-09,211.7567249288153,203.0208170877345,5.775027085095644,-8.735907841080774,No_Weather,Independent
2024-06-10,130.64571270649145,122.471403722877,3.751475003278921,-8.174308983614452,No_Weather,Independent
2024-06-11,77.93582222164724,76.31811608415833,3.089593054799159,-1.6177061374889092,No_Weather,Independent
2024-06-12,73.56096207873728,79.1606435247781,4.593762501039422,5.599681446040819,No_Weather,Independent
2024-06-13,87.88278875949788,99.35372700157393,5.78481666422965,11.470938242076045,No_Weather,Independent
2024-06-14,148.24815517358564,138.44299828126512,3.5187812489046677,-9.805156892320525,No_Weather,Independent
